idx,eventId,activity,timestamp,timestampVar,box,batchPosition,equipment,log
0.0,e1,LoadAL,31/10/2023 10:00:00,,,,1465.0,ExtendedExample
,e2,LoadFS,31/10/2023 10:00:01,t2,,x,1465.0,ExtendedExample
2.0,e3,Open,31/10/2023 10:00:02,,,,1465.0,ExtendedExample
3.0,e4,Fill,31/10/2023 10:00:03,t4,,,1465.0,
4.0,e5,,,t5,,x,,ExtendedExample
5.0,,LoadSS,,t6,,x,,ExtendedExample
6.0,e7,Close,31/10/2023 10:00:06,t7,,,1465.0,ExtendedExample
7.0,e8,Seal,31/10/2023 10:00:07,,b1,,1465.0,ExtendedExample
8.0,,UnloadSS,31/10/2023 10:00:08,t9,,x,1465.0,ExtendedExample
9.0,,LoadFS,31/10/2023 10:00:09,,,z,1465.0,ExtendedExample
10.0,e11,,31/10/2023 10:00:10,t11,,,,ExtendedExample
11.0,e12,Fill,31/10/2023 10:00:11,t12,,,1465.0,ExtendedExample
12.0,e13,UnloadFS,31/10/2023 10:00:12,t13,,z,1465.0,ExtendedExample
13.0,e14,LoadSS,31/10/2023 10:00:13,t14,,,1465.0,
,,Close,31/10/2023 10:00:14,t15,,,1465.0,ExtendedExample
15.0,e16,Seal,,t16,b2,,1465.0,ExtendedExample
16.0,e17,UnloadSS,31/10/2023 10:00:16,t17,,z,,ExtendedExample
,e18,LoadFS,31/10/2023 10:00:17,t18,,y,,
18.0,,Open,31/10/2023 10:00:18,t19,,,1465.0,ExtendedExample
,e20,Fill,31/10/2023 10:00:19,t20,,,1465.0,ExtendedExample
20.0,,UnloadFS,,,,y,,ExtendedExample
,e22,LoadSS,,,,y,1465.0,ExtendedExample
,e23,Close,31/10/2023 10:00:22,t23,,,,ExtendedExample
23.0,e24,,31/10/2023 10:00:23,t24,b3,,1465.0,ExtendedExample
24.0,e25,UnloadSS,31/10/2023 10:00:24,,,y,1465.0,ExtendedExample
25.0,e26,UnloadAL,,t26,,,1465.0,ExtendedExample
26.0,,LoadAL,,t27,,,,
27.0,,LoadFS,31/10/2023 10:00:27,t28,,y,3012.0,ExtendedExample
,e29,Open,31/10/2023 10:00:28,,,,3012.0,
29.0,e30,,31/10/2023 10:00:29,t30,,,3012.0,ExtendedExample
30.0,,,31/10/2023 10:00:30,,,y,3012.0,ExtendedExample
31.0,e32,LoadSS,,t32,,y,3012.0,ExtendedExample
32.0,e33,Close,31/10/2023 10:00:32,,,,3012.0,ExtendedExample
33.0,e34,Seal,,t34,b4,,,
,,UnloadSS,,t35,,y,3012.0,ExtendedExample
35.0,e36,,31/10/2023 10:00:35,t36,,x,,ExtendedExample
36.0,e37,,31/10/2023 10:00:36,t37,,,3012.0,ExtendedExample
37.0,e38,Fill,31/10/2023 10:00:37,,,,3012.0,ExtendedExample
