idx,eventId,activity,timestamp,timestampVar,box,batchPosition,equipment,log
0.0,e1,LoadAL,31/10/2023 10:00:00,t1,,,1465.0,ExtendedExample
1.0,e2,LoadFS,,t2,,x,1465.0,ExtendedExample
2.0,e3,Open,31/10/2023 10:00:02,t3,,,1465.0,ExtendedExample
3.0,e4,Fill,31/10/2023 10:00:03,t4,,,1465.0,ExtendedExample
4.0,e5,,31/10/2023 10:00:04,t5,,x,1465.0,ExtendedExample
5.0,e6,LoadSS,31/10/2023 10:00:05,t6,,x,1465.0,ExtendedExample
6.0,e7,Close,31/10/2023 10:00:06,t7,,,1465.0,ExtendedExample
7.0,e8,Seal,31/10/2023 10:00:07,t8,b1,,1465.0,ExtendedExample
8.0,e9,UnloadSS,31/10/2023 10:00:08,t9,,x,1465.0,ExtendedExample
9.0,e10,LoadFS,31/10/2023 10:00:09,t10,,z,1465.0,ExtendedExample
10.0,e11,Open,31/10/2023 10:00:10,t11,,,1465.0,ExtendedExample
11.0,e12,Fill,31/10/2023 10:00:11,t12,,,1465.0,ExtendedExample
12.0,e13,UnloadFS,31/10/2023 10:00:12,t13,,z,1465.0,ExtendedExample
13.0,e14,LoadSS,31/10/2023 10:00:13,t14,,z,1465.0,ExtendedExample
14.0,e15,Close,31/10/2023 10:00:14,t15,,,1465.0,ExtendedExample
15.0,e16,Seal,31/10/2023 10:00:15,t16,b2,,1465.0,ExtendedExample
16.0,e17,UnloadSS,31/10/2023 10:00:16,t17,,z,1465.0,ExtendedExample
17.0,e18,LoadFS,31/10/2023 10:00:17,t18,,y,1465.0,ExtendedExample
18.0,e19,Open,31/10/2023 10:00:18,t19,,,1465.0,ExtendedExample
19.0,e20,Fill,31/10/2023 10:00:19,t20,,,1465.0,ExtendedExample
20.0,e21,UnloadFS,31/10/2023 10:00:20,t21,,y,1465.0,ExtendedExample
21.0,e22,LoadSS,31/10/2023 10:00:21,t22,,y,1465.0,ExtendedExample
22.0,e23,Close,31/10/2023 10:00:22,t23,,,1465.0,ExtendedExample
23.0,e24,Seal,31/10/2023 10:00:23,t24,b3,,1465.0,ExtendedExample
24.0,e25,UnloadSS,31/10/2023 10:00:24,t25,,y,1465.0,ExtendedExample
25.0,e26,UnloadAL,31/10/2023 10:00:25,t26,,,1465.0,ExtendedExample
26.0,e27,LoadAL,31/10/2023 10:00:26,t27,,,3012.0,ExtendedExample
27.0,e28,LoadFS,31/10/2023 10:00:27,t28,,y,3012.0,
28.0,e29,Open,31/10/2023 10:00:28,t29,,,,ExtendedExample
