idx,eventId,activity,timestamp,timestampVar,box,batchPosition,equipment,log
1,e2,LoadFS,31/10/2023 10:00:01,t2,,x,1465,ExtendedExample
2,e3,Open,31/10/2023 10:00:02,t3,,,1465,ExtendedExample
3,e4,Fill,31/10/2023 10:00:03,t4,,,1465,ExtendedExample
4,e5,UnloadFS,31/10/2023 10:00:04,t5,,x,1465,ExtendedExample
5,e6,LoadSS,31/10/2023 10:00:05,t6,,x,1465,ExtendedExample
6,e7,Close,31/10/2023 10:00:06,t7,,,1465,ExtendedExample
7,e8,Seal,31/10/2023 10:00:07,t8,b1,,1465,ExtendedExample
8,e9,UnloadSS,31/10/2023 10:00:08,t9,,x,1465,ExtendedExample
9,e10,LoadFS,31/10/2023 10:00:09,t10,,z,1465,ExtendedExample
10,e11,Open,31/10/2023 10:00:10,t11,,,1465,ExtendedExample
12,e13,UnloadFS,31/10/2023 10:00:12,t13,,z,1465,ExtendedExample
13,e14,LoadSS,31/10/2023 10:00:13,t14,,z,1465,ExtendedExample
14,e15,Close,31/10/2023 10:00:14,t15,,,1465,ExtendedExample
15,e16,Seal,31/10/2023 10:00:15,t16,b2,,1465,ExtendedExample
16,e17,UnloadSS,31/10/2023 10:00:16,t17,,z,1465,ExtendedExample
17,e18,LoadFS,31/10/2023 10:00:17,t18,,y,1465,ExtendedExample
18,e19,Open,31/10/2023 10:00:18,t19,,,1465,ExtendedExample
19,e20,Fill,31/10/2023 10:00:19,t20,,,1465,ExtendedExample
20,e21,UnloadFS,31/10/2023 10:00:20,t21,,y,1465,ExtendedExample
21,e22,LoadSS,31/10/2023 10:00:21,t22,,y,1465,ExtendedExample
22,e23,Close,31/10/2023 10:00:22,t23,,,1465,ExtendedExample
23,e24,Seal,31/10/2023 10:00:23,t24,b3,,1465,ExtendedExample
24,e25,UnloadSS,31/10/2023 10:00:24,t25,,y,1465,ExtendedExample
25,e26,UnloadAL,31/10/2023 10:00:25,t26,,,1465,ExtendedExample
26,e27,LoadAL,31/10/2023 10:00:26,t27,,,3012,ExtendedExample
27,e28,LoadFS,31/10/2023 10:00:27,t28,,y,3012,ExtendedExample
28,e29,Open,31/10/2023 10:00:28,t29,,,3012,ExtendedExample
29,e30,Fill,31/10/2023 10:00:29,t30,,,3012,ExtendedExample
30,e31,UnloadFS,31/10/2023 10:00:30,t31,,y,3012,ExtendedExample
31,e32,LoadSS,31/10/2023 10:00:31,t32,,y,3012,ExtendedExample
32,e33,Close,31/10/2023 10:00:32,t33,,,3012,ExtendedExample
33,e34,Seal,31/10/2023 10:00:33,t34,b4,,3012,ExtendedExample
34,e35,UnloadSS,31/10/2023 10:00:34,t35,,y,3012,ExtendedExample
35,e36,LoadFS,31/10/2023 10:00:35,t36,,x,3012,ExtendedExample
36,e37,Open,31/10/2023 10:00:36,t37,,,3012,ExtendedExample
37,e38,Fill,31/10/2023 10:00:37,t38,,,3012,ExtendedExample
38,e39,UnloadFS,31/10/2023 10:00:38,t39,,x,3012,ExtendedExample
39,e40,LoadSS,31/10/2023 10:00:39,t40,,x,3012,ExtendedExample
40,e41,Close,31/10/2023 10:00:40,t41,,,3012,ExtendedExample
41,e42,Seal,31/10/2023 10:00:41,t42,b5,,3012,ExtendedExample
43,e44,LoadFS,31/10/2023 10:00:43,t44,,z,3012,ExtendedExample
44,e45,Open,31/10/2023 10:00:44,t45,,,3012,ExtendedExample
45,e46,Fill,31/10/2023 10:00:45,t46,,,3012,ExtendedExample
46,e47,UnloadFS,31/10/2023 10:00:46,t47,,z,3012,ExtendedExample
47,e48,LoadSS,31/10/2023 10:00:47,t48,,z,3012,ExtendedExample
48,e49,Close,31/10/2023 10:00:48,t49,,,3012,ExtendedExample
